p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;68;2015;26704402;21434996;14874399;6832171.5;13862484;1011915.5;13466272;10902352;6627496;4412239;6077442;550054.13;SANTANDER
hombre;68;2013;26112310;20795796;14616171;6400934.5;13512916;1103255.6;12847128;10150225;8054161;2214192.3;7570900.5;483260.44;SANTANDER
mujer;68;2016;26669708;21442336;14965164;6723934;13844503;1120661.5;13676824;11045630;6773709;4379824;6172522.5;601186.25;SANTANDER
mujer;68;2017;27049360;21771720;14874794;7155234.5;13837291;1037502.1;13657934;11127929;6628869.5;4613639;6069255.5;559614.31;SANTANDER
hombre;68;2018;27476350;22179384;15456488;6982744.5;14160938;1295549.5;13560317;10826062;8575255;2380516.3;7962453.5;612801.94;SANTANDER
hombre;68;2014;26075356;20943126;14566548;6619966;13590738;975810.5;12747639;10154459;7993528.5;2290423;7567808.5;425719.94;SANTANDER
mujer;68;2018;27476350;22179384;15456488;6982744.5;14160938;1295549.5;13916033;11353322;6881232.5;4602228.5;6198485;682747.56;SANTANDER
hombre;68;2011;25804174;20642362;14123576;6785110.5;13019149;1104426.5;12720967;10164495;8039263.5;2278944.5;7540217;499046.44;SANTANDER
hombre;68;2012;25931236;20628562;14338640;6124814;13201348;1137292;12782131;10065802;7958425;2102260;7466687;491738.44;SANTANDER
mujer;68;2011;25804174;20642362;14123576;6785110.5;13019149;1104426.5;13083206;10477866;6084312;4506166;5478932;605380.13;SANTANDER
hombre;68;2017;27049360;21771720;14874794;7155234.5;13837291;1037502.1;13391427;10643790;8245924;2541595.3;7768036;477887.81;SANTANDER
mujer;68;2013;26112310;20795796;14616171;6400934.5;13512916;1103255.6;13265181;10645572;6562010.5;4186742.3;5942015;619995.19;SANTANDER
hombre;68;2016;26669708;21442336;14965164;6723934;13844503;1120661.5;12992884;10396705;8191455;2344110;7671980;519475.25;SANTANDER
hombre;68;2019;27655564;22299696;15203713;7354376;13654009;1549703.8;13658892;10932855;8493940;2577840;7813617.5;680322.44;SANTANDER
hombre;70;2011;10089000;7567505.5;4261056;3483205.3;3815282.5;445773.31;5088647.5;3799678.8;2765472;1120695.8;2577259;188212.98;SUCRE
mujer;70;2011;10089000;7567505.5;4261056;3483205.3;3815282.5;445773.31;5000352;3767827;1495583.8;2362509.5;1238023.5;257560.34;SUCRE
mujer;70;2016;10872077;8196734;5041890;3352616.5;4579583;462307.13;5378729.5;4068326.3;1956758.8;2218565;1681018.1;275740.69;SUCRE
hombre;70;2017;10973430;8376813;5116361;3448038.5;4672709;443651.69;5609663;4258949.5;3151957.8;1219818.1;2984003.3;167954.55;SUCRE
hombre;70;2013;10630156;8015221;4853006.5;3331412.8;4400941.5;452064.97;5399584.5;4070802.5;3059730;1101043.9;2878071.3;181658.75;SUCRE
hombre;70;2014;10745540;8064877;4880254.5;3362828.5;4476512.5;403741.88;5459570.5;4110700.5;3079031.3;1114202.8;2923101.8;155929.42;SUCRE
hombre;70;2019;11153825;8549246;5263202;3471452.8;4674703;588499;5624844.5;4301752.5;3225359.3;1183310.8;3003262.8;222096.47;SUCRE
mujer;70;2013;10630156;8015221;4853006.5;3331412.8;4400941.5;452064.97;5230571.5;3944418.5;1793276.6;2230368.8;1522870.4;270406.22;SUCRE
hombre;70;2015;10658980;8067069;4738804.5;3489786.3;4345856.5;392948.28;5351930;4041366.5;2934710;1186397.5;2788022.5;146687.42;SUCRE
mujer;70;2019;11153825;8549246;5263202;3471452.8;4674703;588499;5528981;4247493;2037842.5;2288142;1671440;366402.53;SUCRE
mujer;70;2015;10658980;8067069;4738804.5;3489786.3;4345856.5;392948.28;5307050;4025702.3;1804094.9;2303388.8;1557834;246260.86;SUCRE
hombre;70;2012;10376075;7748586;4671942.5;3083368.8;4249599;422343.69;5203998.5;3868879.8;2880922.3;1023022.8;2715406.5;165515.86;SUCRE
mujer;70;2014;10745540;8064877;4880254.5;3362828.5;4476512.5;403741.88;5285969;3954176.3;1801223.1;2248625.8;1553410.6;247812.47;SUCRE
mujer;70;2012;10376075;7748586;4671942.5;3083368.8;4249599;422343.69;5172076.5;3879706;1791020.3;2060345.9;1534192.4;256827.81;SUCRE
mujer;70;2018;11004403;8441288;5348939.5;3256270;4866913.5;482025.97;5420105.5;4191315;2059553.6;2212309.8;1751414.1;308139.5;SUCRE
hombre;70;2018;11004403;8441288;5348939.5;3256270;4866913.5;482025.97;5584297;4249973;3289385.8;1043960.3;3115499.3;173886.47;SUCRE
mujer;70;2017;10973430;8376813;5116361;3448038.5;4672709;443651.69;5363767;4117863.8;1964403.1;2228220.5;1688706;275697.16;SUCRE
hombre;70;2016;10872077;8196734;5041890;3352616.5;4579583;462307.13;5493348;4128407.5;3085131.5;1134051.4;2898565;186566.45;SUCRE
mujer;73;2018;17251824;13602104;9230812;4564548;8055000;1175812.6;8576537;6823270;3926683.8;2981580.8;3277689.3;648994.69;TOLIMA
mujer;73;2019;17127866;13432990;8606001;4992953.5;7277235.5;1328765.8;8410875;6666889;3567763;3164956;2831964;735798.94;TOLIMA
hombre;73;2012;16196864;12480921;8706063;3839384;7733198;972864.75;8126554.5;6215739;5103316.5;1191195.1;4665140.5;438175.78;TOLIMA
hombre;73;2019;17127866;13432990;8606001;4992953.5;7277235.5;1328765.8;8716991;6766100.5;5038238.5;1827997.1;4445271.5;592966.75;TOLIMA
hombre;73;2015;16961256;13131657;9147634;4231684;8206023.5;941610.56;8428250;6506287;5230879.5;1410111.9;4792946.5;437933.06;TOLIMA
hombre;73;2018;17251824;13602104;9230812;4564548;8055000;1175812.6;8675288;6778834;5304128.5;1582967;4777310.5;526817.94;TOLIMA
mujer;73;2017;17336164;13573884;9226876;4568635.5;8316617.5;910258.44;8650848;6783951.5;3971833.3;2920463;3470104;501729.34;TOLIMA
mujer;73;2014;16410509;12754881;8700308;4290487;7841285;859023.56;8149685.5;6340415;3665078.8;2756472.5;3205242.3;459836.5;TOLIMA
mujer;73;2012;16196864;12480921;8706063;3839384;7733198;972864.75;8070309.5;6265182;3602746.5;2648189;3068057.5;534689;TOLIMA
hombre;73;2014;16410509;12754881;8700308;4290487;7841285;859023.56;8260823.5;6414465.5;5035229.5;1534014.4;4636042.5;399187.06;TOLIMA
hombre;73;2013;16527758;12718978;8716327;4235836.5;7853539;862788.38;8401227;6345180.5;5023383.5;1453438.9;4644216;379167.69;TOLIMA
mujer;73;2015;16961256;13131657;9147634;4231684;8206023.5;941610.56;8533005;6625369.5;3916754.8;2821572.3;3413077.3;503677.53;TOLIMA
mujer;73;2011;15838864;12215441;8793684;3678307.5;7240488.5;1553195.5;7917207;6204441;3801336.8;2520438;2869256.8;932079.81;TOLIMA
hombre;73;2016;16776407;13073512;9191816;4077529.8;8267252.5;924563.25;8616361;6609229.5;5273228.5;1449398.4;4892714;380514.28;TOLIMA
mujer;73;2016;16776407;13073512;9191816;4077529.8;8267252.5;924563.25;8160045;6464282.5;3918587;2628131.5;3374538;544048.94;TOLIMA
hombre;73;2017;17336164;13573884;9226876;4568635.5;8316617.5;910258.44;8685317;6789933;5255043;1648172.5;4846514;408529.06;TOLIMA
hombre;73;2011;15838864;12215441;8793684;3678307.5;7240488.5;1553195.5;7921657.5;6011000;4992347.5;1157869.4;4371231.5;621115.69;TOLIMA
mujer;73;2013;16527758;12718978;8716327;4235836.5;7853539;862788.38;8126531;6373797.5;3692943.8;2782397.8;3209323;483620.69;TOLIMA
mujer;76;2019;54719504;44686164;29997690;14954435;26423494;3574195;27954378;23095934;13589433;9624038;11547845;2041587.3;VALLE DEL CAUCA
mujer;76;2018;53629444;43651844;29123096;14834815;25764120;3358977.5;27387888;22504310;13101411;9514876;11112343;1989068;VALLE DEL CAUCA
hombre;76;2018;53629444;43651844;29123096;14834815;25764120;3358977.5;26241556;21147534;16021686;5319939;14651777;1369909.5;VALLE DEL CAUCA
hombre;76;2012;50715988;40746168;27036136;13163146;23436188;3599946.8;24695968;19600674;14827057;4636132.5;13276799;1550257.5;VALLE DEL CAUCA
mujer;76;2015;52640672;42590460;28767750;14045176;25586624;3181125.5;27073052;22099868;13195103;9021400;11307552;1887550.8;VALLE DEL CAUCA
hombre;76;2013;51551328;41440120;27410024;14392234;23911154;3498871.3;25173742;19898104;15060426;5037911;13530147;1530278.8;VALLE DEL CAUCA
mujer;76;2012;50715988;40746168;27036136;13163146;23436188;3599946.8;26020020;21145494;12209079;8527014;10159389;2049689.3;VALLE DEL CAUCA
mujer;76;2016;52863200;42953984;28735240;14465767;25566532;3168707;27061982;22283190;13023309;9400820;11169194;1854115.5;VALLE DEL CAUCA
hombre;76;2011;50102308;40110144;26318560;14080353;22695350;3623210.5;24420278;19327118;14579497;4914557;12895136;1684360.8;VALLE DEL CAUCA
hombre;76;2019;54719504;44686164;29997690;14954435;26423494;3574195;26765126;21590228;16408257;5330398;14875649;1532607.6;VALLE DEL CAUCA
hombre;76;2015;52640672;42590460;28767750;14045176;25586624;3181125.5;25567622;20490590;15572648;5023776.5;14279073;1293574.8;VALLE DEL CAUCA
hombre;76;2016;52863200;42953984;28735240;14465767;25566532;3168707;25801218;20670794;15711930;5064947.5;14397339;1314591.6;VALLE DEL CAUCA
mujer;76;2017;53042836;43228336;28895104;14634611;25590936;3304167;27235890;22414150;12988157;9542134;11100710;1887446.9;VALLE DEL CAUCA
hombre;76;2014;51697596;41728744;27663460;14379654;24449476;3213983.8;25103628;20076334;15275998;4972511.5;13840725;1435272.9;VALLE DEL CAUCA
hombre;76;2017;53042836;43228336;28895104;14634611;25590936;3304167;25806946;20814188;15906947;5092477;14490227;1416720.3;VALLE DEL CAUCA
mujer;76;2014;51697596;41728744;27663460;14379654;24449476;3213983.8;26593970;21652410;12387463;9407142;10608752;1778710.8;VALLE DEL CAUCA
mujer;76;2011;50102308;40110144;26318560;14080353;22695350;3623210.5;25682030;20783026;11739063;9165796;9800214;1938849.6;VALLE DEL CAUCA
mujer;76;2013;51551328;41440120;27410024;14392234;23911154;3498871.3;26377588;21542018;12349599;9354323;10381007;1968592.6;VALLE DEL CAUCA
