p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;13;2018;26645354;20392240;12278127;8429876;11576034;702092.81;13260568;10269119;4829136;5552962.5;4374758.5;454377.41;BOLIVAR
hombre;13;2011;24455152;18447444;10735106;8037789;9893091;842015;12301963;9207173;6777153;2606170.8;6441869.5;335283.22;BOLIVAR
hombre;15;2019;17373068;13754520;7933732.5;6063980;7242762.5;690970.06;8500787;6636554.5;4529318.5;2227492.8;4232414;296904.28;BOYACA
mujer;15;2019;17373068;13754520;7933732.5;6063980;7242762.5;690970.06;8872280;7117966;3404414;3836487.3;3010348.3;394065.81;BOYACA
mujer;15;2016;17115394;13446403;8294095.5;5457567;7700047.5;594047.81;8724679;6900614.5;3572144.3;3470533;3261896;310248.34;BOYACA
mujer;15;2012;15863400;12284898;7405465;4913456;6849520.5;555944.44;8128572.5;6424543.5;3237608.3;3167381.8;2947312;290296.31;BOYACA
hombre;15;2018;17251274;13589994;8364160.5;5428679;7762825.5;601335.06;8414037;6550983.5;4684246;1997643.6;4445645;238600.97;BOYACA
mujer;15;2014;16676486;13025405;8053860;5215447.5;7445677;608182.94;8498710;6753045.5;3510928;3355858.8;3182358.8;328569.28;BOYACA
mujer;15;2013;16490611;12905730;7813185.5;5383052.5;7129393;683792.38;8378935;6622182.5;3307714.5;3464199.3;2989668.8;318045.75;BOYACA
hombre;15;2013;16490611;12905730;7813185.5;5383052.5;7129393;683792.38;8111676.5;6283547;4505471;1918853.4;4139724.5;365746.66;BOYACA
mujer;15;2011;15731810;12096015;7276601.5;5055476;6678225.5;598376;8069572.5;6319533.5;3140767;3273913.8;2818711.5;322055.38;BOYACA
mujer;15;2017;17489404;13742910;8407942;5578334;7770659;637283.5;8768040;6951151;3642199.3;3416805.5;3306049.8;336149.53;BOYACA
mujer;15;2018;17251274;13589994;8364160.5;5428679;7762825.5;601335.06;8837238;7039010;3679914.8;3431035.3;3317180.8;362734.06;BOYACA
hombre;15;2014;16676486;13025405;8053860;5215447.5;7445677;608182.94;8177776;6272359.5;4542932;1859588.8;4263318.5;279613.66;BOYACA
hombre;15;2015;16881696;13246998;8594421;4954965;8079510.5;514910.41;8400619;6522294;4899518;1801267;4652757.5;246760.84;BOYACA
hombre;15;2011;15731810;12096015;7276601.5;5055476;6678225.5;598376;7662237.5;5776481;4135834.8;1781562.4;3859514.3;276320.59;BOYACA
hombre;15;2016;17115394;13446403;8294095.5;5457567;7700047.5;594047.81;8390714;6545788.5;4721951.5;1987033.9;4438152;283799.47;BOYACA
hombre;15;2017;17489404;13742910;8407942;5578334;7770659;637283.5;8721363;6791759;4765743;2161528.3;4464609;301133.94;BOYACA
hombre;15;2012;15863400;12284898;7405465;4913456;6849520.5;555944.44;7734827.5;5860355;4167856.8;1746074.1;3902208.5;265648.09;BOYACA
mujer;15;2015;16881696;13246998;8594421;4954965;8079510.5;514910.41;8481078;6724703.5;3694902.8;3153698;3426753.3;268149.56;BOYACA
mujer;17;2019;12985703;10588155;6120168;4605817;5456331.5;663836.44;6575304.5;5463543;2377694.8;3140052;2043009.6;334685.09;CALDAS
mujer;17;2017;13250715;10555055;5996083.5;4707896.5;5408043.5;588039.75;6746846.5;5451378;2295349.3;3233716.3;1978823.3;316525.97;CALDAS
mujer;17;2015;12611629;10215104;5844324.5;4490980.5;5323770;520554.47;6352637.5;5185344.5;2149426.5;3092775.3;1888709.4;260717.2;CALDAS
hombre;17;2018;13269224;10726115;6257382.5;4608994;5622342.5;635040.13;6426081.5;5130920;3745678.8;1467895.3;3481958;263720.72;CALDAS
mujer;17;2018;13269224;10726115;6257382.5;4608994;5622342.5;635040.13;6843142.5;5595195;2511704;3141099;2140384.8;371319.41;CALDAS
hombre;17;2014;12444665;10005933;5533513.5;4618777.5;5033071;500442.41;6012406;4755357;3375905.5;1462116.1;3137039.5;238865.98;CALDAS
hombre;17;2015;12611629;10215104;5844324.5;4490980.5;5323770;520554.47;6258992;5029759.5;3694897.8;1398205.3;3435060.5;259837.25;CALDAS
hombre;17;2012;12493857;10042691;5403456.5;4560781;4848899.5;554556.88;6104617;4844440.5;3349357.5;1513259.4;3043386;305971.41;CALDAS
hombre;17;2011;12402591;9902717;5293574.5;4777692.5;4665153.5;628421.06;6090250;4770913.5;3362292;1487153.8;3023665;338627.06;CALDAS
