year;dpto;nom_dpto;nom_ciu;sexo;inf;inf_b
2015;66;Risaralda;Pereira;hombre;0.5435735;0.54335809
2015;66;Risaralda;Pereira;mujer;0.60771364;0.60771364
2015;68;Santander;Bucaramanga;hombre;0.64063966;0.63881963
2015;68;Santander;Bucaramanga;mujer;0.65934789;0.65578377
2015;70;Sucre;Sincelejo;hombre;0.81474793;0.81400603
2015;70;Sucre;Sincelejo;mujer;0.74731117;0.74030119
2015;73;Tolima;Ibague;hombre;0.65566456;0.65342468
2015;73;Tolima;Ibague;mujer;0.7156834;0.70900512
2015;76;Valle del Cauca;Cali;hombre;0.49211693;0.49143398
2015;76;Valle del Cauca;Cali;mujer;0.6015107;0.59919941
2016;5;Antioquia;Medellin;hombre;0.49604741;0.49568385
2016;5;Antioquia;Medellin;mujer;0.50612271;0.5059036
2016;8;Atlantico;Barranquilla;hombre;0.55130047;0.55118376
2016;8;Atlantico;Barranquilla;mujer;0.59908217;0.59867346
2016;11;Bogota;Bogota;hombre;0.40548208;0.40454614
2016;11;Bogota;Bogota;mujer;0.45005801;0.44798091
2016;13;Bolivar;Cartagena;hombre;0.70180881;0.69948816
2016;13;Bolivar;Cartagena;mujer;0.68495053;0.67889684
2016;15;Boyaca;Tunja;hombre;0.65067703;0.64993101
2016;15;Boyaca;Tunja;mujer;0.68010223;0.67783761
2016;17;Caldas;Manizales;hombre;0.57911968;0.5788359
2016;17;Caldas;Manizales;mujer;0.5355466;0.53308713
2016;18;Caqueta;Florencia;hombre;0.8294664;0.82906842
2016;18;Caqueta;Florencia;mujer;0.77306736;0.77274978
2016;19;Cauca;Popayan;hombre;0.73762631;0.73756444
2016;19;Cauca;Popayan;mujer;0.73985511;0.73736268
2016;20;Cesar;Valledupar;hombre;0.7070328;0.7070328
2016;20;Cesar;Valledupar;mujer;0.67571217;0.67529869
2016;23;Cordoba;Monteria;hombre;0.80671692;0.80654395
2016;23;Cordoba;Monteria;mujer;0.74720162;0.74669647
2016;25;Cundinamarca;Cundinamarca;hombre;0.59128195;0.59105557
2016;25;Cundinamarca;Cundinamarca;mujer;0.58586079;0.58407259
2016;27;Choco;Quibdo;hombre;0.80261737;0.80160415
2016;27;Choco;Quibdo;mujer;0.67897451;0.67783946
2016;41;Huila;Neiva;hombre;0.74287301;0.74186128
2016;41;Huila;Neiva;mujer;0.71163392;0.7026577
2016;44;La Guajira;Riohacha;hombre;0.74081898;0.73724633
2016;44;La Guajira;Riohacha;mujer;0.72488862;0.72006202
2016;47;Magdalena;Santa Marta;hombre;0.71416348;0.7141301
2016;47;Magdalena;Santa Marta;mujer;0.7250573;0.72077036
2016;50;Meta;Villavicencio;hombre;0.63167983;0.6315006
2016;50;Meta;Villavicencio;mujer;0.66046709;0.65592968
2016;52;Nariño;Pasto;hombre;0.81649476;0.81521815
2016;52;Nariño;Pasto;mujer;0.77725911;0.77440137
2016;54;Norte de Santander;Cucuta;hombre;0.77499712;0.77414596
2016;54;Norte de Santander;Cucuta;mujer;0.7242111;0.72298908
2016;63;Quindio;Armenia;hombre;0.62637252;0.62411135
2016;63;Quindio;Armenia;mujer;0.71723628;0.71472359
2016;66;Risaralda;Pereira;hombre;0.54742253;0.54742253
2016;66;Risaralda;Pereira;mujer;0.60532182;0.60532182
2016;68;Santander;Bucaramanga;hombre;0.64195925;0.63942981
2016;68;Santander;Bucaramanga;mujer;0.66444612;0.66052806
2016;70;Sucre;Sincelejo;hombre;0.80303478;0.8021726
2016;70;Sucre;Sincelejo;mujer;0.76373988;0.7553345
2016;73;Tolima;Ibague;hombre;0.69252908;0.69131941
2016;73;Tolima;Ibague;mujer;0.73452085;0.73196483
2016;76;Valle del Cauca;Cali;hombre;0.50801283;0.50693756
2016;76;Valle del Cauca;Cali;mujer;0.58339781;0.57964051
2017;5;Antioquia;Medellin;hombre;0.50564265;0.50486583
2017;5;Antioquia;Medellin;mujer;0.51576501;0.51490289
2017;8;Atlantico;Barranquilla;hombre;0.57845956;0.57845956
2017;8;Atlantico;Barranquilla;mujer;0.61531526;0.61443096
2017;11;Bogota;Bogota;hombre;0.40399599;0.40353936
2017;11;Bogota;Bogota;mujer;0.43339294;0.43199229
2017;13;Bolivar;Cartagena;hombre;0.72300887;0.72200888
