year;dpto;nom_dpto;nom_ciu;sexo;sineducacion;educprimaria;educsecundaria;educmedia;eductecnica;educuniversitaria;educpostgrado
2011;23;Cordoba;Monteria;mujer;0.24201658;0.1957467;0.14709879;0.24507406;0.035670608;0.066924855;0.067468405
2011;25;Cundinamarca;Cundinamarca;hombre;0.27872533;0.23361759;0.12253142;0.17235188;0.06710054;0.044658888;0.081014365
2011;25;Cundinamarca;Cundinamarca;mujer;0.24845406;0.22438163;0.12742932;0.18286219;0.081051238;0.048365723;0.087455831
2011;27;Choco;Quibdo;hombre;0.31855714;0.18183398;0.112299;0.21781833;0.047023032;0.067275099;0.055193394
2011;27;Choco;Quibdo;mujer;0.28369457;0.16161907;0.11353524;0.24135208;0.058633558;0.076001145;0.065164343
2011;41;Huila;Neiva;hombre;0.26424673;0.20953318;0.11905123;0.20612307;0.07600788;0.05592604;0.069111854
2011;41;Huila;Neiva;mujer;0.22954381;0.20571391;0.12678559;0.21545652;0.094332173;0.05687578;0.071292214
2011;44;La Guajira;Riohacha;hombre;0.30579424;0.18484248;0.11786737;0.18719248;0.07703606;0.060292281;0.066975102
2011;44;La Guajira;Riohacha;mujer;0.27712834;0.16569251;0.11289708;0.19231258;0.094155021;0.078970775;0.078843713
2011;47;Magdalena;Santa Marta;hombre;0.24980402;0.18944342;0.15429841;0.23477919;0.048144761;0.060229946;0.063300237
2011;47;Magdalena;Santa Marta;mujer;0.21431467;0.18356593;0.16978401;0.24755342;0.053853728;0.06555099;0.065377265
2011;50;Meta;Villavicencio;hombre;0.26460034;0.22070387;0.13428506;0.21146652;0.046339415;0.048782349;0.073822431
2011;50;Meta;Villavicencio;mujer;0.24297677;0.19779849;0.15343058;0.24189627;0.046934091;0.048352242;0.068611562
2011;52;Nariño;Pasto;hombre;0.26115677;0.20539212;0.10761195;0.20900223;0.070281893;0.064444274;0.082110763
2011;52;Nariño;Pasto;mujer;0.2596851;0.18912916;0.11609068;0.2168289;0.077938199;0.060887177;0.07944078
2011;54;Norte de Santander;Cucuta;hombre;0.32016349;0.22250107;0.10698408;0.18198767;0.058583107;0.046608347;0.063172236
2011;54;Norte de Santander;Cucuta;mujer;0.28285268;0.20938274;0.11529427;0.2070338;0.066096827;0.052394625;0.066945061
2011;63;Quindio;Armenia;hombre;0.24858427;0.22393404;0.12799799;0.20711192;0.067621589;0.059377082;0.065373085
2011;63;Quindio;Armenia;mujer;0.23364355;0.21305697;0.13367175;0.21982515;0.076988153;0.05851664;0.064297803
2011;66;Risaralda;Pereira;hombre;0.2528443;0.21600763;0.13008195;0.22030392;0.063171297;0.049009468;0.068581432
2011;66;Risaralda;Pereira;mujer;0.23907132;0.21592414;0.13309628;0.21439029;0.079062961;0.050128981;0.068326011
2011;68;Santander;Bucaramanga;hombre;0.22264209;0.21462174;0.11937997;0.23436415;0.075113751;0.052363694;0.081514612
2011;68;Santander;Bucaramanga;mujer;0.20873554;0.19319504;0.1273362;0.23940577;0.089683026;0.061819676;0.079824738
2011;70;Sucre;Sincelejo;hombre;0.2885544;0.20299631;0.13099971;0.19958818;0.055808008;0.05218688;0.069866516
2011;70;Sucre;Sincelejo;mujer;0.25704968;0.1982224;0.1298037;0.21152247;0.078521647;0.057484493;0.067395613
2011;73;Tolima;Ibague;hombre;0.25272331;0.20261438;0.12929446;0.21602145;0.068124689;0.054968998;0.076252721
2011;73;Tolima;Ibague;mujer;0.22565544;0.20188707;0.1380726;0.22860847;0.069360413;0.05747623;0.078939788
2011;76;Valle del Cauca;Cali;hombre;0.22864746;0.20151868;0.15563343;0.22689512;0.068535827;0.052570093;0.066199377
2011;76;Valle del Cauca;Cali;mujer;0.21721959;0.20198601;0.15651095;0.23279169;0.063247576;0.058677498;0.069566689
2012;5;Antioquia;Medellin;hombre;0.27420792;0.26946726;0.07012438;0.23529688;0.081999533;0.048533209;0.020370806
2012;5;Antioquia;Medellin;mujer;0.25189754;0.25684947;0.070341356;0.23972075;0.11011893;0.050127856;0.020944109
2012;8;Atlantico;Barranquilla;hombre;0.26784292;0.23292767;0.08253175;0.28745285;0.057341766;0.061912101;0.009990966
2012;8;Atlantico;Barranquilla;mujer;0.24866743;0.2400533;0.082952596;0.27441463;0.073386639;0.070055209;0.010470208
2012;11;Bogota;Bogota;hombre;0.21750842;0.2459749;0.078359351;0.28044078;0.080379553;0.062442608;0.034894399
2012;11;Bogota;Bogota;mujer;0.21690394;0.24307813;0.076785117;0.26252663;0.10189441;0.069498934;0.029312856
2012;13;Bolivar;Cartagena;hombre;0.29209247;0.25212896;0.074939176;0.23984185;0.076763988;0.051520683;0.012712895
2012;13;Bolivar;Cartagena;mujer;0.26578611;0.25196457;0.082483418;0.23307139;0.099760354;0.055620577;0.011313604
2012;15;Boyaca;Tunja;hombre;0.28607371;0.25477284;0.069557495;0.23708746;0.045138374;0.069335505;0.038034629
2012;15;Boyaca;Tunja;mujer;0.26449022;0.22183256;0.066441372;0.244341;0.071351148;0.089268632;0.042275075
2012;17;Caldas;Manizales;hombre;0.26514468;0.26188329;0.067795433;0.26549163;0.06800361;0.049614877;0.022066478
2012;17;Caldas;Manizales;mujer;0.2467943;0.25353372;0.072821617;0.25389159;0.093874872;0.057374604;0.02170931
2012;18;Caqueta;Florencia;hombre;0.39984271;0.27931085;0.062696598;0.17750929;0.025879325;0.035387475;0.019373748
2012;18;Caqueta;Florencia;mujer;0.36004761;0.27044302;0.070179835;0.20502537;0.035716522;0.038724232;0.019863401
2012;19;Cauca;Popayan;hombre;0.30162385;0.26290596;0.063984491;0.23691227;0.062166747;0.047927774;0.024478914
