year;dpto;nom_dpto;nom_ciu;sexo;horas
2015;52;Nariño;Pasto;hombre;43.393364
2015;52;Nariño;Pasto;mujer;34.722591
2015;54;Norte de Santander;Cucuta;hombre;48.880547
2015;54;Norte de Santander;Cucuta;mujer;39.395317
2015;63;Quindio;Armenia;hombre;50.654018
2015;63;Quindio;Armenia;mujer;39.646313
2015;66;Risaralda;Pereira;hombre;51.246193
2015;66;Risaralda;Pereira;mujer;42.322731
2015;68;Santander;Bucaramanga;hombre;48.736237
2015;68;Santander;Bucaramanga;mujer;39.653816
2015;70;Sucre;Sincelejo;hombre;46.963322
2015;70;Sucre;Sincelejo;mujer;34.926014
2015;73;Tolima;Ibague;hombre;47.890587
2015;73;Tolima;Ibague;mujer;36.789616
2015;76;Valle del Cauca;Cali;hombre;48.238995
2015;76;Valle del Cauca;Cali;mujer;38.435066
2016;5;Antioquia;Medellin;hombre;48.881969
2016;5;Antioquia;Medellin;mujer;42.322971
2016;8;Atlantico;Barranquilla;hombre;50.227955
2016;8;Atlantico;Barranquilla;mujer;38.298309
2016;11;Bogota;Bogota;hombre;49.95187
2016;11;Bogota;Bogota;mujer;42.82008
2016;13;Bolivar;Cartagena;hombre;46.419476
2016;13;Bolivar;Cartagena;mujer;37.636574
2016;15;Boyaca;Tunja;hombre;45.021503
2016;15;Boyaca;Tunja;mujer;36.355221
2016;17;Caldas;Manizales;hombre;50.337791
2016;17;Caldas;Manizales;mujer;41.731216
2016;18;Caqueta;Florencia;hombre;46.49905
2016;18;Caqueta;Florencia;mujer;37.231979
2016;19;Cauca;Popayan;hombre;40.509541
2016;19;Cauca;Popayan;mujer;34.460667
2016;20;Cesar;Valledupar;hombre;49.053352
2016;20;Cesar;Valledupar;mujer;40.174831
2016;23;Cordoba;Monteria;hombre;45.811306
2016;23;Cordoba;Monteria;mujer;37.045353
2016;25;Cundinamarca;Cundinamarca;hombre;48.231106
2016;25;Cundinamarca;Cundinamarca;mujer;39.132336
2016;27;Choco;Quibdo;hombre;45.430737
2016;27;Choco;Quibdo;mujer;40.610943
2016;41;Huila;Neiva;hombre;46.427227
2016;41;Huila;Neiva;mujer;38.110195
2016;44;La Guajira;Riohacha;hombre;47.165546
2016;44;La Guajira;Riohacha;mujer;35.334076
2016;47;Magdalena;Santa Marta;hombre;48.712402
2016;47;Magdalena;Santa Marta;mujer;36.372166
2016;50;Meta;Villavicencio;hombre;52.050488
2016;50;Meta;Villavicencio;mujer;43.785759
2016;52;Nariño;Pasto;hombre;43.083378
2016;52;Nariño;Pasto;mujer;33.90588
2016;54;Norte de Santander;Cucuta;hombre;50.375004
2016;54;Norte de Santander;Cucuta;mujer;40.522999
2016;63;Quindio;Armenia;hombre;50.188267
2016;63;Quindio;Armenia;mujer;37.749706
2016;66;Risaralda;Pereira;hombre;50.377979
2016;66;Risaralda;Pereira;mujer;41.65823
2016;68;Santander;Bucaramanga;hombre;48.321537
2016;68;Santander;Bucaramanga;mujer;39.14027
2016;70;Sucre;Sincelejo;hombre;46.435608
2016;70;Sucre;Sincelejo;mujer;33.902428
2016;73;Tolima;Ibague;hombre;47.381268
2016;73;Tolima;Ibague;mujer;36.337418
2016;76;Valle del Cauca;Cali;hombre;48.468639
2016;76;Valle del Cauca;Cali;mujer;38.32037
2017;5;Antioquia;Medellin;hombre;48.47274
2017;5;Antioquia;Medellin;mujer;41.265079
2017;8;Atlantico;Barranquilla;hombre;49.882198
2017;8;Atlantico;Barranquilla;mujer;38.648594
2017;11;Bogota;Bogota;hombre;49.594894
2017;11;Bogota;Bogota;mujer;43.73489
