year;dpto;nom_dpto;nom_ciu;sexo;ingresototal;ingnotransitorio
2013;70;Sucre;Sincelejo;mujer;517360.31;471385.28
2013;73;Tolima;Ibague;hombre;806648.94;745828.88
2013;73;Tolima;Ibague;mujer;560426.75;507767.38
2013;76;Valle del Cauca;Cali;hombre;865301.69;813164
2013;76;Valle del Cauca;Cali;mujer;649311.63;597825.69
2014;5;Antioquia;Medellin;hombre;1159424.1;1059606.9
2014;5;Antioquia;Medellin;mujer;953723.25;858106.06
2014;8;Atlantico;Barranquilla;hombre;711360.63;713280.63
2014;8;Atlantico;Barranquilla;mujer;519580.78;503566.38
2014;11;Bogota;Bogota;hombre;1515663.6;1402996.3
2014;11;Bogota;Bogota;mujer;1135434.6;1046358.4
2014;13;Bolivar;Cartagena;hombre;694503.38;691291.81
2014;13;Bolivar;Cartagena;mujer;544272.31;536209.06
2014;15;Boyaca;Tunja;hombre;808953.94;753650.38
2014;15;Boyaca;Tunja;mujer;663681.75;602515.56
2014;17;Caldas;Manizales;hombre;891919;843215.56
2014;17;Caldas;Manizales;mujer;773533.31;710111.81
2014;18;Caqueta;Florencia;hombre;911304.63;861201.69
2014;18;Caqueta;Florencia;mujer;705555.88;656973.81
2014;19;Cauca;Popayan;hombre;621929.63;597346.06
2014;19;Cauca;Popayan;mujer;579957.81;539671.94
2014;20;Cesar;Valledupar;hombre;818702.5;784794.13
2014;20;Cesar;Valledupar;mujer;602648.13;564350.38
2014;23;Cordoba;Monteria;hombre;789791.44;756987.81
2014;23;Cordoba;Monteria;mujer;604724.5;551296.75
2014;25;Cundinamarca;Cundinamarca;hombre;962738.56;885020.63
2014;25;Cundinamarca;Cundinamarca;mujer;713266.56;640067.69
2014;27;Choco;Quibdo;hombre;589165.19;593502.38
2014;27;Choco;Quibdo;mujer;648294.75;649949.38
2014;41;Huila;Neiva;hombre;846113.56;789419.63
2014;41;Huila;Neiva;mujer;701998.19;642907
2014;44;La Guajira;Riohacha;hombre;806605.63;750545.75
2014;44;La Guajira;Riohacha;mujer;785636.88;729933
2014;47;Magdalena;Santa Marta;hombre;738272.38;704918.25
2014;47;Magdalena;Santa Marta;mujer;567209.31;524268.31
2014;50;Meta;Villavicencio;hombre;1093484.9;1002246.7
2014;50;Meta;Villavicencio;mujer;798601;739029.25
2014;52;Nariño;Pasto;hombre;598019.19;577609.38
2014;52;Nariño;Pasto;mujer;505202.22;468484.03
2014;54;Norte de Santander;Cucuta;hombre;784260.44;756831.94
2014;54;Norte de Santander;Cucuta;mujer;669072;621629.5
2014;63;Quindio;Armenia;hombre;811198.06;736998.25
2014;63;Quindio;Armenia;mujer;592163.44;548318.19
2014;66;Risaralda;Pereira;hombre;927276.63;889122.44
2014;66;Risaralda;Pereira;mujer;728846.63;672401.25
2014;68;Santander;Bucaramanga;hombre;1165571.8;1090047.8
2014;68;Santander;Bucaramanga;mujer;853749.44;788351.94
2014;70;Sucre;Sincelejo;hombre;759350.25;728144.06
2014;70;Sucre;Sincelejo;mujer;529854.69;486945.81
2014;73;Tolima;Ibague;hombre;821899.63;764451.81
2014;73;Tolima;Ibague;mujer;632863.06;579703.25
2014;76;Valle del Cauca;Cali;hombre;960456.94;895661.13
2014;76;Valle del Cauca;Cali;mujer;710104.81;653018.63
2015;5;Antioquia;Medellin;hombre;1157963.5;1070467.9
2015;5;Antioquia;Medellin;mujer;979676.38;883552.5
2015;8;Atlantico;Barranquilla;hombre;821195.25;809027.56
2015;8;Atlantico;Barranquilla;mujer;608350.81;582160.19
2015;11;Bogota;Bogota;hombre;1468666.8;1375294.1
2015;11;Bogota;Bogota;mujer;1179105.3;1073243.9
2015;13;Bolivar;Cartagena;hombre;751802;738986.13
2015;13;Bolivar;Cartagena;mujer;556952.25;540173.19
2015;15;Boyaca;Tunja;hombre;837324.31;768446.06
2015;15;Boyaca;Tunja;mujer;676029.31;607858.44
2015;17;Caldas;Manizales;hombre;899543.69;840027.19
2015;17;Caldas;Manizales;mujer;834386.69;744928.56
2015;18;Caqueta;Florencia;hombre;897469.88;850129.25
2015;18;Caqueta;Florencia;mujer;710680.56;656490.44
2015;19;Cauca;Popayan;hombre;669088.69;646216.69
2015;19;Cauca;Popayan;mujer;576414.75;538403.44
2015;20;Cesar;Valledupar;hombre;851873.31;806197.56
2015;20;Cesar;Valledupar;mujer;651092.63;598679.38
2015;23;Cordoba;Monteria;hombre;733495.5;711047.63
2015;23;Cordoba;Monteria;mujer;568093.06;528215.06
2015;25;Cundinamarca;Cundinamarca;hombre;1015776.8;935492.5
2015;25;Cundinamarca;Cundinamarca;mujer;739157.31;660174.88
2015;27;Choco;Quibdo;hombre;657946.13;648397.69
2015;27;Choco;Quibdo;mujer;583473.69;582186.94
2015;41;Huila;Neiva;hombre;839883;788153.56
2015;41;Huila;Neiva;mujer;643489.88;591976.44
2015;44;La Guajira;Riohacha;hombre;869499.75;805753.19
2015;44;La Guajira;Riohacha;mujer;639890.5;585200.56
2015;47;Magdalena;Santa Marta;hombre;791888.81;762199
2015;47;Magdalena;Santa Marta;mujer;605930.75;556188.5
2015;50;Meta;Villavicencio;hombre;1097398.5;1014067.8
2015;50;Meta;Villavicencio;mujer;827680.75;765662.06
2015;52;Nariño;Pasto;hombre;670755.81;646683.88
2015;52;Nariño;Pasto;mujer;551368.69;515749.44
2015;54;Norte de Santander;Cucuta;hombre;817590.31;794442.81
2015;54;Norte de Santander;Cucuta;mujer;653542.06;613047.25
2015;63;Quindio;Armenia;hombre;827049.44;761844.75
2015;63;Quindio;Armenia;mujer;677197.88;618190
2015;66;Risaralda;Pereira;hombre;964259.69;910112.5
2015;66;Risaralda;Pereira;mujer;755076.13;693861.38
2015;68;Santander;Bucaramanga;hombre;1127431.1;1061171.3
2015;68;Santander;Bucaramanga;mujer;863941.88;800323.19
2015;70;Sucre;Sincelejo;hombre;764176.19;724919.5
2015;70;Sucre;Sincelejo;mujer;568833;521040.47
2015;73;Tolima;Ibague;hombre;927740.56;846971.63
2015;73;Tolima;Ibague;mujer;650100.06;596672.31
2015;76;Valle del Cauca;Cali;hombre;976338.81;912916.5
2015;76;Valle del Cauca;Cali;mujer;729006;670588.69
2016;5;Antioquia;Medellin;hombre;1245093.3;1151545
2016;5;Antioquia;Medellin;mujer;1063248.3;961651.06
2016;8;Atlantico;Barranquilla;hombre;918519.75;893469.94
2016;8;Atlantico;Barranquilla;mujer;667223;636634.63
2016;11;Bogota;Bogota;hombre;1558154.5;1470940.6
2016;11;Bogota;Bogota;mujer;1269294.6;1173959.4
2016;13;Bolivar;Cartagena;hombre;741397;726215.38
2016;13;Bolivar;Cartagena;mujer;566152.06;556726.88
2016;15;Boyaca;Tunja;hombre;1042168.1;964648.94
2016;15;Boyaca;Tunja;mujer;751056.38;690419.75
2016;17;Caldas;Manizales;hombre;1009832;934221.38
2016;17;Caldas;Manizales;mujer;919520.19;833012.06
2016;18;Caqueta;Florencia;hombre;1057019;994341.75
2016;18;Caqueta;Florencia;mujer;759890.63;695993.13
2016;19;Cauca;Popayan;hombre;698392.56;673296.19
2016;19;Cauca;Popayan;mujer;574894.75;540286.63
2016;20;Cesar;Valledupar;hombre;937517;890178.81
2016;20;Cesar;Valledupar;mujer;719441.69;674902.63
2016;23;Cordoba;Monteria;hombre;861283.19;832700.19
2016;23;Cordoba;Monteria;mujer;638648.25;588621.63
2016;25;Cundinamarca;Cundinamarca;hombre;1046258.9;974223.81
2016;25;Cundinamarca;Cundinamarca;mujer;797265.19;734564.75
2016;27;Choco;Quibdo;hombre;571958.56;580535.75
2016;27;Choco;Quibdo;mujer;526702.06;529697.88
