year;Mes;Tipo inactividad;Género;sexo;Total
2013;1;Oficios del Hogar ;1;hombre;308
2013;1;Oficios del Hogar ;0;mujer;5062
2013;1;Otros;1;hombre;1485
2013;1;Otros;0;mujer;1154
2013;2;Estudiando ;1;hombre;2797
2013;2;Estudiando ;0;mujer;2673
2013;2;Oficios del Hogar ;1;hombre;328
2013;2;Oficios del Hogar ;0;mujer;5000
2013;2;Otros;1;hombre;1427
2013;2;Otros;0;mujer;1026
2013;3;Estudiando ;1;hombre;2800
2013;3;Estudiando ;0;mujer;2672
2013;3;Oficios del Hogar ;1;hombre;319
2013;3;Oficios del Hogar ;0;mujer;4924
2013;3;Otros;1;hombre;1409
2013;3;Otros;0;mujer;1005
2013;4;Estudiando ;1;hombre;2812
2013;4;Estudiando ;0;mujer;2636
2013;4;Oficios del Hogar ;1;hombre;340
2013;4;Oficios del Hogar ;0;mujer;4842
2013;4;Otros;1;hombre;1397
2013;4;Otros;0;mujer;1016
2013;5;Estudiando ;1;hombre;2801
2013;5;Estudiando ;0;mujer;2641
2013;5;Oficios del Hogar ;1;hombre;315
2013;5;Oficios del Hogar ;0;mujer;4761
2013;5;Otros;1;hombre;1389
2013;5;Otros;0;mujer;1069
2013;6;Estudiando ;1;hombre;2820
2013;6;Estudiando ;0;mujer;2640
2013;6;Oficios del Hogar ;1;hombre;317
2013;6;Oficios del Hogar ;0;mujer;4734
2013;6;Otros;1;hombre;1423
2013;6;Otros;0;mujer;1089
2013;7;Estudiando ;1;hombre;2800
2013;7;Estudiando ;0;mujer;2711
2013;7;Oficios del Hogar ;1;hombre;304
2013;7;Oficios del Hogar ;0;mujer;4716
2013;7;Otros;1;hombre;1428
2013;7;Otros;0;mujer;1081
2013;8;Estudiando ;1;hombre;2732
2013;8;Estudiando ;0;mujer;2662
2013;8;Oficios del Hogar ;1;hombre;305
2013;8;Oficios del Hogar ;0;mujer;4692
2013;8;Otros;1;hombre;1391
2013;8;Otros;0;mujer;1039
2013;9;Estudiando ;1;hombre;2683
2013;9;Estudiando ;0;mujer;2634
2013;9;Oficios del Hogar ;1;hombre;332
2013;9;Oficios del Hogar ;0;mujer;4769
2013;9;Otros;1;hombre;1399
2013;9;Otros;0;mujer;1055
2013;10;Estudiando ;1;hombre;2501
2013;10;Estudiando ;0;mujer;2451
2013;10;Oficios del Hogar ;1;hombre;345
2013;10;Oficios del Hogar ;0;mujer;4919
2013;10;Otros;1;hombre;1482
2013;10;Otros;0;mujer;1094
2013;11;Estudiando ;1;hombre;2440
2013;11;Estudiando ;0;mujer;2391
2013;11;Oficios del Hogar ;1;hombre;364
2013;11;Oficios del Hogar ;0;mujer;5092
2013;11;Otros;1;hombre;1611
2013;11;Otros;0;mujer;1207
2013;12;Estudiando ;1;hombre;2549
2013;12;Estudiando ;0;mujer;2436
2013;12;Oficios del Hogar ;1;hombre;340
2013;12;Oficios del Hogar ;0;mujer;5137
2013;12;Otros;1;hombre;1611
2013;12;Otros;0;mujer;1203
2014;1;Estudiando ;1;hombre;2782
2014;1;Estudiando ;0;mujer;2634
2014;1;Oficios del Hogar ;1;hombre;336
2014;1;Oficios del Hogar ;0;mujer;5062
2014;1;Otros;1;hombre;1524
2014;1;Otros;0;mujer;1156
2014;2;Estudiando ;1;hombre;2923
