year;dpto;nom_dpto;nom_ciu;sexo;Carro;Moto;Bicicleta
2015;17;Caldas;Manizales;mujer;0.11909077;0.29605147;0.2952652
2015;18;Caqueta;Florencia;hombre;0.063500695;0.41043785;0.13994388
2015;18;Caqueta;Florencia;mujer;0.059969541;0.38381895;0.14223178
2015;19;Cauca;Popayan;hombre;0.065360166;0.33938774;0.2240313
2015;19;Cauca;Popayan;mujer;0.064782821;0.30182824;0.1992268
2015;20;Cesar;Valledupar;hombre;0.098261125;0.3646425;0.38238826
2015;20;Cesar;Valledupar;mujer;0.097586542;0.33743367;0.35598382
2015;23;Cordoba;Monteria;hombre;0.066258669;0.42765394;0.67144167
2015;23;Cordoba;Monteria;mujer;0.069579124;0.42148674;0.65002376
2015;25;Cundinamarca;Cundinamarca;hombre;0.15114433;0.23753364;0.42449239
2015;25;Cundinamarca;Cundinamarca;mujer;0.1483518;0.21087176;0.40195498
2015;27;Choco;Quibdo;hombre;0.021400541;0.15266941;0.11996597
2015;27;Choco;Quibdo;mujer;0.019941224;0.14772506;0.12324172
2015;41;Huila;Neiva;hombre;0.12312535;0.48753452;0.26225176
2015;41;Huila;Neiva;mujer;0.12301298;0.45785978;0.25557187
2015;44;La Guajira;Riohacha;hombre;0.10556556;0.15888305;0.31608358
2015;44;La Guajira;Riohacha;mujer;0.10834748;0.13926172;0.29519105
2015;47;Magdalena;Santa Marta;hombre;0.05674934;0.30501997;0.33964109
2015;47;Magdalena;Santa Marta;mujer;0.056129757;0.27786097;0.31696409
2015;50;Meta;Villavicencio;hombre;0.16505733;0.52634901;0.4080531
2015;50;Meta;Villavicencio;mujer;0.16006757;0.49263629;0.39557329
2015;52;Nariño;Pasto;hombre;0.093687333;0.31159842;0.22411895
2015;52;Nariño;Pasto;mujer;0.086216532;0.26493526;0.20679261
2015;54;Norte de Santander;Cucuta;hombre;0.1309012;0.39049235;0.24313824
2015;54;Norte de Santander;Cucuta;mujer;0.11906191;0.36591467;0.23133755
2015;63;Quindio;Armenia;hombre;0.12934683;0.35530376;0.38494244
2015;63;Quindio;Armenia;mujer;0.1270854;0.33629966;0.36681113
2015;66;Risaralda;Pereira;hombre;0.13687237;0.37873039;0.29121387
2015;66;Risaralda;Pereira;mujer;0.12995459;0.33738482;0.27699003
